,GradCF (eps=0.25) (sparsity fixed),GradCF (eps=0) (sparsity fixed),dice_mod_random,GradCF (eps=1),GradCF (eps=1) (sparsity fixed),CFAE,TGCF_IMM',GradCF (eps=0),GradCF (eps=0.5),TGCF_DTC_Fidelity',GradCF (eps=0.25),GradCF (eps=0.1),NeighborSearch,Baycon - Model Agnostic,GradCF (eps=0.5) (sparsity fixed),CFDE,GradCF (eps=0.75) (sparsity fixed),TGCF_DTC',Baycon - KMeans,GradCF (eps=0.1) (sparsity fixed),TGCF_DTC,Baseline (DiCE),TGCF_IMM,Baseline (BayCon),TGCF_DTC_Fidelity,GradCF (eps=0.75)
Dissimilarity,5.26 ± 1.99,4.53 ± 1.96,4.86 ± 1.27,7.38 ± 1.89,7.32 ± 1.92,5.11 ± 2.21,0.75 ± 0.18,4.62 ± 1.91,6.07 ± 1.90,5.55 ± 2.43,5.36 ± 1.92,4.92 ± 1.91,4.72 ± 1.81,1.66 ± 1.03,5.99 ± 1.94,4.26 ± 2.05,6.76 ± 1.97,1.18 ± 0.44,1.48 ± 0.78,4.81 ± 2.00,0.81 ± 0.33,9.51 ± 3.29,0.55 ± 0.00,2.71 ± 1.56,4.61 ± 2.20,6.81 ± 1.94
Sparsity,0.40 ± 0.18,0.44 ± 0.20,0.00 ± 0.00,0.00 ± 0.00,0.22 ± 0.11,0.65 ± 0.16,0.97 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.51 ± 0.21,0.87 ± 0.11,0.33 ± 0.15,0.55 ± 0.16,0.26 ± 0.13,0.00 ± 0.00,0.90 ± 0.12,0.45 ± 0.18,0.00 ± 0.00,0.79 ± 0.07,0.97 ± 0.00,0.76 ± 0.16,0.00 ± 0.00,0.00 ± 0.00
Plausibility,-1.01 ± 0.03,-1.03 ± 0.04,-1.08 ± 0.10,-0.98 ± 0.00,-0.98 ± 0.01,-1.23 ± 0.21,-1.10 ± 0.04,-1.01 ± 0.02,-0.98 ± 0.01,-1.11 ± 0.10,-1.00 ± 0.02,-1.00 ± 0.02,-1.11 ± 0.13,-1.15 ± 0.09,-1.00 ± 0.03,-1.46 ± 0.35,-0.98 ± 0.01,-1.13 ± 0.05,-1.15 ± 0.07,-1.02 ± 0.04,-1.12 ± 0.05,-2.28 ± 0.54,-1.05 ± 0.00,-1.22 ± 0.14,-1.15 ± 0.10,-0.97 ± 0.00
Validity,1.00 ± 0.00,1.00 ± 0.00,0.89 ± 0.31,1.00 ± 0.00,1.00 ± 0.00,0.90 ± 0.31,0.03 ± 0.17,1.00 ± 0.00,1.00 ± 0.00,0.49 ± 0.50,1.00 ± 0.00,1.00 ± 0.00,1.00 ± 0.00,0.06 ± 0.24,1.00 ± 0.00,1.00 ± 0.00,1.00 ± 0.00,0.04 ± 0.20,0.02 ± 0.14,1.00 ± 0.00,0.02 ± 0.14,0.47 ± 0.50,0.01 ± 0.10,0.30 ± 0.46,0.38 ± 0.48,1.00 ± 0.00
Diversity,N/A,N/A,0.28 ± 0.15,N/A,N/A,0.35 ± 0.22,N/A,N/A,N/A,0.03 ± 0.15,N/A,N/A,0.26 ± 0.09,0.36 ± 0.41,N/A,0.00 ± 0.00,N/A,0.25 ± 0.20,0.26 ± 0.37,N/A,0.33 ± 0.10,0.62 ± 0.28,N/A,0.42 ± 0.42,0.07 ± 0.23,N/A
Invalidation,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Correction,N/A,N/A,0.00,N/A,N/A,0.00,0.00,N/A,N/A,0.00,N/A,N/A,N/A,0.00,N/A,N/A,N/A,0.00,1.00,N/A,0.00,0.00,0.00,0.00,0.00,N/A
Runtime,0.59 ± 0.29,0.60 ± 0.34,0.51 ± 0.09,0.53 ± 0.13,0.53 ± 0.13,0.12 ± 0.09,0.00 ± 0.00,0.59 ± 0.34,0.67 ± 0.36,0.06 ± 0.05,0.58 ± 0.29,0.59 ± 0.32,0.23 ± 0.10,15.77 ± 4.96,0.67 ± 0.36,0.02 ± 0.01,0.75 ± 0.32,0.00 ± 0.00,9.51 ± 5.58,0.60 ± 0.32,0.00 ± 0.00,146.06 ± 214.14,0.00 ± 0.00,21.03 ± 8.06,0.05 ± 0.04,0.75 ± 0.32
%Explained,1.00,1.00,0.97,1.00,1.00,0.98,0.03,1.00,1.00,0.46,1.00,1.00,1.00,0.68,1.00,1.00,1.00,0.06,0.22,1.00,0.05,0.70,0.01,0.83,0.46,1.00
#Valid,1.00 ± 0.00,1.00 ± 0.00,8.94 ± 2.29,1.00 ± 0.00,1.00 ± 0.00,8.95 ± 2.26,0.03 ± 0.17,1.00 ± 0.00,1.00 ± 0.00,15.24 ± 17.50,1.00 ± 0.00,1.00 ± 0.00,10.00 ± 0.00,178.43 ± 652.37,1.00 ± 0.00,10.00 ± 0.00,1.00 ± 0.00,0.30 ± 1.32,53.77 ± 241.71,1.00 ± 0.00,0.13 ± 0.64,4.57 ± 3.79,0.01 ± 0.10,52.74 ± 128.40,11.77 ± 14.37,1.00 ± 0.00
