,GradCF (eps=0.25) (sparsity fixed),GradCF (eps=0) (sparsity fixed),dice_mod_random,GradCF (eps=1),GradCF (eps=1) (sparsity fixed),CFAE,TGCF_IMM',GradCF (eps=0),GradCF (eps=0.5),TGCF_DTC_Fidelity',GradCF (eps=0.25),GradCF (eps=0.1),NeighborSearch,Baycon - Model Agnostic,GradCF (eps=0.5) (sparsity fixed),CFDE,GradCF (eps=0.75) (sparsity fixed),TGCF_DTC',Baycon - KMeans,GradCF (eps=0.1) (sparsity fixed),TGCF_DTC,Baseline (DiCE),TGCF_IMM,Baseline (BayCon),TGCF_DTC_Fidelity,GradCF (eps=0.75)
Dissimilarity,2.33 ± 0.90,2.08 ± 0.92,2.16 ± 0.89,2.95 ± 0.82,2.92 ± 0.85,1.56 ± 0.75,1.22 ± 0.57,2.15 ± 0.89,2.63 ± 0.85,2.43 ± 0.89,2.39 ± 0.86,2.25 ± 0.87,2.30 ± 0.98,1.57 ± 0.73,2.59 ± 0.88,1.85 ± 0.84,2.82 ± 0.87,1.94 ± 1.16,1.84 ± 0.92,2.19 ± 0.91,2.10 ± 1.57,2.69 ± 1.03,0.34 ± 0.15,1.47 ± 0.77,2.17 ± 0.93,2.86 ± 0.85
Sparsity,0.28 ± 0.26,0.30 ± 0.26,0.00 ± 0.00,0.00 ± 0.00,0.21 ± 0.26,0.21 ± 0.23,0.69 ± 0.10,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.44 ± 0.25,0.50 ± 0.16,0.27 ± 0.27,0.54 ± 0.16,0.23 ± 0.25,0.00 ± 0.00,0.48 ± 0.17,0.29 ± 0.26,0.00 ± 0.00,0.55 ± 0.11,0.75 ± 0.00,0.57 ± 0.18,0.00 ± 0.00,0.00 ± 0.00
Plausibility,-1.04 ± 0.13,-1.14 ± 0.23,-1.05 ± 0.07,-0.97 ± 0.02,-0.98 ± 0.04,-1.38 ± 0.46,-1.24 ± 0.44,-1.05 ± 0.07,-0.97 ± 0.02,-1.26 ± 0.45,-0.99 ± 0.00,-1.02 ± 0.03,-1.29 ± 0.48,-1.04 ± 0.12,-1.00 ± 0.06,-1.79 ± 0.82,-0.99 ± 0.05,-1.22 ± 0.44,-1.06 ± 0.13,-1.07 ± 0.14,-0.99 ± 0.00,-1.81 ± 0.77,-1.00 ± 0.01,-1.06 ± 0.14,-1.32 ± 0.45,-0.97 ± 0.02
Validity,1.00 ± 0.00,1.00 ± 0.00,1.00 ± 0.00,1.00 ± 0.00,1.00 ± 0.00,1.00 ± 0.00,0.31 ± 0.46,1.00 ± 0.00,1.00 ± 0.00,0.68 ± 0.47,1.00 ± 0.00,1.00 ± 0.00,1.00 ± 0.00,0.42 ± 0.49,1.00 ± 0.00,1.00 ± 0.00,1.00 ± 0.00,0.31 ± 0.46,0.43 ± 0.49,1.00 ± 0.00,0.17 ± 0.38,0.58 ± 0.49,0.05 ± 0.22,0.55 ± 0.50,0.53 ± 0.50,1.00 ± 0.00
Diversity,N/A,N/A,0.00 ± 0.00,N/A,N/A,0.00 ± 0.00,N/A,N/A,N/A,0.65 ± 0.22,N/A,N/A,0.00 ± 0.00,0.04 ± 0.13,N/A,0.00 ± 0.00,N/A,0.91 ± 0.00,0.01 ± 0.07,N/A,0.93 ± 0.00,0.13 ± 0.23,N/A,0.07 ± 0.18,0.62 ± 0.21,N/A
Invalidation,0.00,0.00,0.00,0.00,0.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00
Correction,N/A,N/A,N/A,N/A,N/A,N/A,0.00,N/A,N/A,0.00,N/A,N/A,N/A,0.00,N/A,N/A,N/A,0.00,0.00,N/A,0.00,0.00,0.00,0.00,0.00,N/A
Runtime,0.68 ± 0.16,0.80 ± 0.32,0.34 ± 0.05,0.44 ± 0.17,0.45 ± 0.17,0.02 ± 0.01,0.00 ± 0.00,0.80 ± 0.32,0.68 ± 0.17,0.00 ± 0.00,0.68 ± 0.16,0.73 ± 0.24,0.02 ± 0.01,7.19 ± 2.50,0.68 ± 0.17,0.03 ± 0.02,0.80 ± 0.27,0.00 ± 0.00,13.55 ± 9.79,0.74 ± 0.24,0.00 ± 0.00,38.97 ± 64.45,0.00 ± 0.00,6.45 ± 2.54,0.00 ± 0.00,0.79 ± 0.27
%Explained,1.00,1.00,1.00,1.00,1.00,1.00,0.31,1.00,1.00,1.00,1.00,1.00,1.00,0.81,1.00,1.00,1.00,0.33,0.80,1.00,0.15,0.96,0.05,0.74,0.87,1.00
#Valid,1.00 ± 0.00,1.00 ± 0.00,10.00 ± 0.00,1.00 ± 0.00,1.00 ± 0.00,10.00 ± 0.00,0.31 ± 0.46,1.00 ± 0.00,1.00 ± 0.00,1.58 ± 0.72,1.00 ± 0.00,1.00 ± 0.00,10.00 ± 0.00,77.50 ± 111.49,1.00 ± 0.00,10.00 ± 0.00,1.00 ± 0.00,0.45 ± 0.70,81.78 ± 82.75,1.00 ± 0.00,0.25 ± 0.62,5.84 ± 3.35,0.05 ± 0.22,31.36 ± 44.70,1.23 ± 0.69,1.00 ± 0.00
