,TGCF IMM,TGCF IMM',2TGCF IMM,2TGCF IMM'
Dissimilarity,1.01 ± 0.21,1.58 ± 0.40,0.55 ± 0.00,0.75 ± 0.18
Sparsity,0.50 ± 0.00,0.38 ± 0.21,0.97 ± 0.00,0.97 ± 0.00
Plausibility,-2.05 ± 0.44,-1.78 ± 0.66,-1.05 ± 0.00,-1.10 ± 0.04
Validity,0.16 ± 0.37,0.82 ± 0.38,0.01 ± 0.10,0.03 ± 0.17
Diversity,N/A,N/A,N/A,N/A
Invalidation,00.00,00.00,00.00,00.00
Correction,00.00,00.00,00.00,00.00
Runtime,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00
%Explained,0.16,01.22,00.01,00.03
#Valid,0.16 ± 0.37,0.82 ± 0.38,0.01 ± 0.10,0.03 ± 0.17
