,necs5,necs10,necs20,necs50
Dissimilarity,4.53 ± 1.75,4.72 ± 1.81,4.93 ± 1.87,5.28 ± 1.96
Sparsity,0.49 ± 0.22,0.51 ± 0.21,0.55 ± 0.20,0.61 ± 0.19
Plausibility,-1.11 ± 0.14,-1.11 ± 0.13,-1.12 ± 0.13,-1.17 ± 0.14
Validity,1.00 ± 0.00,1.00 ± 0.00,1.00 ± 0.00,1.00 ± 0.00
Diversity,2.63 ± 0.63,3.18 ± 0.67,3.55 ± 0.73,4.11 ± 0.95
Invalidation,00.00,01.00,01.00,02.00
Correction,N/A,N/A,N/A,N/A
Runtime,0.07 ± 0.02,0.14 ± 0.05,0.26 ± 0.10,0.56 ± 0.19
%Explained,01.00,01.00,01.00,01.00
#Valid,5.00 ± 0.00,10.00 ± 0.00,20.00 ± 0.00,50.00 ± 0.00
