,tgcf0,tgcf25,tgcf50,tgcf75,tgcf100
Dissimilarity,4.61 ± 2.20,5.04 ± 2.34,5.55 ± 2.43,6.12 ± 2.57,6.69 ± 2.68
Sparsity,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00
Plausibility,-1.15 ± 0.10,-1.11 ± 0.09,-1.11 ± 0.10,-1.13 ± 0.14,-1.17 ± 0.17
Validity,0.38 ± 0.48,0.44 ± 0.50,0.49 ± 0.50,0.50 ± 0.50,0.51 ± 0.50
Diversity,1.85 ± 0.41,1.60 ± 0.38,1.60 ± 0.36,1.65 ± 0.48,1.77 ± 0.68
Invalidation,00.00,00.00,00.00,00.00,00.00
Correction,00.00,00.00,00.00,00.00,00.00
Runtime,0.06 ± 0.04,0.06 ± 0.05,0.06 ± 0.04,0.06 ± 0.04,0.08 ± 0.06
%Explained,00.46,00.46,00.46,00.46,00.46
#Valid,11.77 ± 14.37,13.84 ± 16.15,15.24 ± 17.50,15.65 ± 17.87,15.81 ± 18.06
